variavel_contexto,variavel_resultado,ano_escolar,numero_observacoes,correlacao
pct_matriculas_transporte_publico,delta_pct_adequado,4,53,0.0982587302363792
pct_matriculas_transporte_publico,delta_pct_adequado,5,52,-0.2681301010813162
pct_matriculas_transporte_publico,delta_pct_defasagem,1,54,0.1604860794052511
pct_matriculas_transporte_publico,delta_pct_defasagem,2,53,0.023611099478327877
pct_matriculas_transporte_publico,delta_pct_defasagem,3,53,-0.05261726583278876
pct_matriculas_transporte_publico,delta_pct_defasagem,4,53,-0.12016360524561202
pct_matriculas_transporte_publico,delta_pct_defasagem,5,52,0.20012966767442816
pct_matriculas_transporte_publico,delta_proficiencia,1,54,-0.14753639261321702
pct_matriculas_transporte_publico,delta_proficiencia,2,53,-0.012195758687655985
pct_matriculas_transporte_publico,delta_proficiencia,3,53,0.04045564324774124
pct_matriculas_transporte_publico,delta_proficiencia,4,53,0.13432315383205143
pct_matriculas_transporte_publico,delta_proficiencia,5,52,-0.2554083549200126
pct_matriculas_transporte_publico,pct_adequado_2025,1,54,0.15113619875577017
pct_matriculas_transporte_publico,pct_adequado_2025,2,53,0.13592462691476248
pct_matriculas_transporte_publico,pct_adequado_2025,3,53,0.029472093055412756
pct_matriculas_transporte_publico,pct_adequado_2025,4,53,-0.014073928123114565
pct_matriculas_transporte_publico,pct_adequado_2025,5,52,0.35396066103984103
pct_matriculas_transporte_publico,proficiencia_media_2025,1,54,0.11059406750230763
pct_matriculas_transporte_publico,proficiencia_media_2025,2,53,0.09003517137868072
pct_matriculas_transporte_publico,proficiencia_media_2025,3,53,0.006610222492670946
pct_matriculas_transporte_publico,proficiencia_media_2025,4,53,-0.03802559952770477
pct_matriculas_transporte_publico,proficiencia_media_2025,5,52,0.318706454560397
pct_matriculas_transporte_publico,taxa_participacao_2025,1,54,-0.005711867573089136
pct_matriculas_transporte_publico,taxa_participacao_2025,2,53,0.21057076729758412
pct_matriculas_transporte_publico,taxa_participacao_2025,3,53,0.14291485848120047
pct_matriculas_transporte_publico,taxa_participacao_2025,4,53,0.19456365440305876
pct_matriculas_transporte_publico,taxa_participacao_2025,5,52,0.3176882805000753
