Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000461;13;21;15;71;12;79%;21%;0%;38;75;14;4;36;29;69;32;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000462;14;21;16;76;7;100%;0%;0%;67;23;25;25;60;41;40;28;17
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000492;11;24;20;83;8;89%;11%;0%;47;46;21;21;38;36;28;18;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000493;12;22;17;77;7;87%;13%;0%;47;33;18;14;57;32;38;29;24
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000494;13;23;22;96;7;90%;5%;5%;27;44;29;32;24;21;15;15;27
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000520;11;22;18;82;38;53%;18%;29%;57;68;35;41;68;62;45;47;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000521;12;24;17;71;29;63%;25%;13%;52;75;27;33;59;34;46;41;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000522;13;20;17;85;42;36%;50%;14%;76;81;38;32;82;57;67;54;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000523;14;20;19;95;34;50%;36%;14%;69;71;48;11;61;39;60;46;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000524;15;23;19;83;41;25%;56%;19%;67;88;21;17;94;41;71;53;73
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000547;11;26;19;73;34;58%;26%;16%;56;61;44;29;82;79;51;35;51
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000548;12;21;18;86;37;53%;20%;27%;71;77;53;40;70;33;51;37;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000549;13;21;20;95;2;100%;0%;0%;47;33;8;14;46;47;7;14;19
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000550;14;23;16;70;64;13%;44%;44%;75;82;60;53;100;88;63;66;79
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500001814;15;23;19;83;70;16%;26%;58%;70;75;78;85;89;81;70;83;71
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR; 21912411500000575;11;20;18;90;53;27%;47%;27%;80;93;60;14;80;77;62;37;60
